μῆνιν|μῆνις
εἴκελος|εἴκελος
στρατῷ|στρατός
χαῖῤ|χαίρω
γιγνώσκουσα|γιγνώσκω
παρεστάμεναι|παρίστημι
κεφαλῆφι|κεφαλή
συνελὼν|συναιρέω
ἐνεῦδεν|ἐνεύδω
βοείην|βοείη
ἐθέλοντες|ἐθέλω
τραφερήν|τραφερός
ἤγετ̓|ἄγω
ἐκακώσατε|κακόω
φήμην|φήμη
φάσθω|φημί
ἐγειρομένων|ἐγείρω
ἔνδοθεν|ἔνδοθεν
ἔκτοσθεν|ἔκτοσθε
φανήτω|φαίνω
ἔκλυε|κλύω
ἐβρόντησεν|βροντάω
αἰγλήεντος|αἰγλήεις
Ὀλύμπου|Ὄλυμπος
νεφέων|νέφος
γήθησε|γηθέω
ἀλετρὶς|ἀλετρίς
μύλαι|μύλη
ἥατο|ἧμαι
ἐπερρώοντο|ἐπιρρώομαι
τεύχουσαι|τεύχω
ἀλείατα|ἀλείατα
ἄλεσσαν|ἀλέω
μί̓|εἷς
οὔπω|οὔπω
παύετ̓|παύω
ἀφαυροτάτη|ἀφαυρός
μύλην|μύλη
στήσασα|ἵστημι
ἀνάσσεις|ἀνάσσω
ἐβρόντησας|βροντάω
οὐρανοῦ|οὐρανός
ἀστερόεντος|ἀστερόεις
νέφος|νέφος
φαίνεις|φαίνω
κρῆνον|κραίνω
δειλῇ|δειλός
πύματόν|πύματος
ἑλοίατο|αἱρέω
ἐρατεινήν|ἐρατεινός
θυμαλγέι|θυμαλγής
τευχούσῃ|τεύχω
δειπνήσειαν|δειπνέω
Ζηνός|Ζεύς
βροντῇ|βροντή
τίσασθαι|τίνω
ἀλείτας|ἀλείτης
ἀγρόμεναι|ἀγείρω
ἀνέκαιον|ἀνακαίω
ἀκάματον|ἀκάματος
εὐνῆθεν|εὐνῆθεν
ἀνίστατο|ἀνίστημι
ἐτιμήσασθ̓|τιμάω
ἀκηδής|ἀκηδής
τοιαύτη|τοιοῦτος
ἐοῦσα|εἰμί
ἐμπλήγδην|ἐμπλήγδην
χείρονα|χείρων
ἀρείον̓|ἀρείων
ἀτιμήσασ̓|ἀτιμάω
ἀποπέμπει|ἀποπέμπω
ἀναίτιον|ἀναίτιος
αἰτιόῳο|αἰτιάομαι
ἔθελ̓|ἐθέλω
πεινήμεναι|πεινάω
μιμνήσκοιτο|μιμνήσκω
δέμνἰ|δέμνιον
ὑποστορέσαι|ὑποστορέννυμι
ὀϊζυρὸς|ὀιζυρός
ἄποτμος|ἄποτμος
ῥήγεσσι|ῥῆγος
καθεύδειν|καθεύδω
ἀδεψήτῳ|ἀδέψητος
βοέῃ|βοείη
κώεσιν|κῶας
ἔδραθ̓|δαρθάνω
ἐπιέσσαμεν|ἐφίζω
ἀγρεῖθ̓|ἀγρέω
κορήσατε|κορέω
ποιπνύσασαι|ποιπνύω
ῥάσσατέ|ῥαίνω
εὐποιήτοισι|εὐποίητος
τάπητας|τάπης
βάλλετε|βάλλω
πορφυρέους|πορφύρεος
ἀμφιμάσασθε|ἀμφιμαίομαι
καθήρατε|καθαίρω
ἀμφικύπελλα|ἀμφικύπελλος
κρήνηνδε|κρήνηνδε
οἴσετε|φέρω
ἰοῦσαι|εἰμί
ἀπέσσονται|ἄπειμι
νέονται|νέομαι
ἑορτή|ἑορτή
βῆσαν|βαίνω
μελάνυδρον|μελάνυδρος
κέασαν|κεάζω
κρήνης|κρήνη
κατάγων|κατάγω
εἴασε|ἐάω
ἕρκεα|ἕρκος
νέμεσθαι|νέμω
εἰσορόωσιν|εἰσοράω
πολυμήτις|πολύμητις
τισαίατο|τίνω
αἰδοῦς|αἰδώς
μετέρεπον|μεταπρέπω
αἰθούσῃ|αἴθουσα
ἐριδούπῳ|ἐρίδουπος
κερτομίοισι|κερτόμιος
ἔξεισθα|ἔξειμι
γεύσασθαι|γεύω
αἰτίζεις|αἰτίζω
δαῖτες|δαίτη
Φιλοίτιος|Φιλοίτιος
πορθμῆες|πορθμεύς
διήγαγον|διάγω
παραστάς|παρίστημι
δύσμορος|δύσμορος
δυόωσι|δυάω
πολυπλάγκτους|πολύπλαγκτος
βασιλεῦσιν|βασιλεύς
ἐπικλώσωνται|ἐπικλώθω
δεξιτερῇ|δεξιτερός
ὀλοώτερος|ὀλοός
ἐλεαίρεις|ἐλεαίρω
γείνεαι|γείνομαι
μισγέμεναι|μίγνυμι
λευγαλέοισιν|λευγαλέος
ἴδιον|ἰδίω
δεδάκρυνται|δακρύω
τοιάδε|τοιόσδε
λαίφἐ|λαῖφος
εἷσ̓|ἵζω
Κεφαλλήνων|Κεφαλλήν
ἀνδρί|ἀνήρ
ὑποσταχύοιτο|ὑποσταχύομαι
εὐρυμετώπων|εὐρυμέτωπος
ἀγινέμεναί|ἀγινέω
ἀλέγουσιν|ἀλέγω
τρομέουσι|τρομέω
μεμάασι|μέμαα
δάσσασθαι|δατέομαι
ἐπιδινεῖται|ἐπιδινέω
αὐτῇσι|αὐτός
βόεσσιν|βοῦς
μένοντα|μένω
ἀλλοτρίῃσι|ἀλλότριος
καθήμενον|κάθημαι
ἀνεκτὰ|ἀνεκτός
θείῃ|τίθημι
βουκόλ̓|βουκόλος
ἄφρονι|ἄφρων
πινυτὴ|πινυτή
ὀμοῦμαι|ὄμνυμι
ἐπόψεαι|ἐφοράω
κτεινομένους|κτείνω
ἐπιβουκόλος|ἐπιβουκόλος
ἤρτυον|ἀρτύω
ἀριστερὸς|ἀριστερός
ὑψιπέτης|ὑψιπέτης
τρήρωνα|τρήρων
συνθεύσεται|συνθέω
μνησώμεθα|μιμνήσκω
ὀπτήσαντες|ὀπτάω
κρητῆρσιν|κρατήρ
κερόωντο|κεράω
νεῖμε|νέμω
ἐπένειμε|ἐπινέμω
καλοῖς|καλός
ἐῳνοχόει|οἰνοχοέω
Μελανθεύς|Μελανθεύς
καθίδρυε|καθιδρύω
ἐϋσταθέος|εὐσταθής
μεγάρου|μέγαρον
καταθεὶς|κατατίθημι
ὀλίγην|ὀλίγος
σπλάγχνων|σπλάγχνον
οἰνοποτάζων|οἰνοποτάζω
κερτομίας|κερτομία
ἀφέξω|ἀπέχω
δήμιός|δήμιος
ἐκτήσατο|κτάομαι
ἐπίσχετε|ἐπίσχω
ἐνιπῆς|ἐνιπή
χαλεπόν|χαλεπός
δεχώμεθα|δέχομαι
ἀπειλήσας|ἀπειλέω
παύσαμεν|παύω
λιγύν|λιγύς
ἀγορητήν|ἀγορητής
ἱερὴν|ἱερός
ἑκατόμβην|ἑκατόμβη
κομόωντες|κομάω
σκιερὸν|σκιερός
ἑκατηβόλου|ἑκατηβόλος
ὤπτησαν|ὀπτάω
κρέ̓|κρέας
ὑπέρτερα|ὑπέρτερος
ἐρύσαντο|ἐρύω
ἴσην|ἴσος
ἐλάγχανον|λαγχάνω
ἀθεμίστια|ἀθεμίστιος
Κτήσιππος|Κτήσιππος
πεποιθὼς|πείθω
θεσπεσίοισι|θεσπέσιος
μνάσκετ̓|μνάομαι
δάμαρτα|δάμαρ
ἐπέοικεν|ἐπέοικε
ἀτέμβειν|ἀτέμβω
δίκαιον|δίκαιος
ξείνιον|ξένιος
λοετροχόῳ|λουτροχόος
λαβών|λαμβάνω
ἀλεύατ̓|ἀλέομαι
παρακλίνας|παρακλίνω
μείδησε|μειδάω
σαρδάνιον|σαρδάνιος
εὔδμητον|εὔδμητος
Κτήσιππον|Κτήσιππος
Κτήσιππ̓|Κτήσιππος
ὀξυόεντι|ὀξυόεις
ἀντὶ|ἀντί
τάφον|τάφος
ἀμφεπονεῖτο|ἀμφιπονέομαι
ἀεικείας|ἀεικία
φαινέτω|φαίνω
τέτλαμεν|τλάω
σφαζομένων|σφάζω
οἴνοιό|οἶνος
πινομένοιο|πίνω
πολλούς|πολύς
μενεαίνετε|μενεαίνω
Δαμαστορίδης|Δαμαστορίδης
Ἀγέλαος|Ἀγέλαος
φαίην|φημί
σφωϊν|σφεῖς
ἅδοι|ἁνδάνω
ἀμφοτέροιϊν|ἀμφότερος
ἐώλπει|ἔλπω
τόφῤ|τόφρα
μενέμεν|μένω
ἰσχέμεναί|ἴσχω
νόστησ̓|νοστέω
ὑπότροπος|ὑπότροπος
δῆλον|δῆλος
παρεζόμενος|παρέζομαι
νέμηαι|νέμω
μὰ|μά
Ζῆν̓|Ζεύς
Ἀγέλαε|Ἀγέλαος
ἔφθιται|φθίω
ἀλάληται|ἀλάλημαι
διατρίβω|διατρίβω
δίεσθαι|δίεμαι
ἄσβεστον|ἄσβεστος
παρέπλαγξεν|παραπλάζω
γναθμοῖσι|γναθμός
γελοίων|γελάω
ἀλλοτρίοισιν|ἀλλότριος
αἱμοφόρυκτα|αἱμοφόρυκτος
σφέων|σφεῖς
ὠΐετο|οἴομαι
πάσχετε|πάσχω
εἰλύαται|εἰλύω
κεφαλαί|κεφαλή
πρόσωπά|πρόσωπον
νέρθε|νέρθε
οἰμωγὴ|οἰμωγή
δέδηε|δαίω
παρειαί|παρειά
ἐρράδαται|ῥαίνω
εἰδώλων|εἴδωλον
αὐλή|αὐλή
ἱεμένων|ἵημι
Ἔρεβόσδε|Ἔρεβόσδε
ἐξαπόλωλε|ἐξαπόλλυμι
ἐπιδέδρομεν|ἐπιτρέχω
ἀχλύς|ἀχλύς
γέλασσαν|γελάω
ἀφραίνει|ἀφραίνω
ἐκπέμψασθε|ἐκπέμπω
ἐΐσκει|ἐίσκω
πομπῆας|πομπεύς
ὀφθαλμοί|ὀφθαλμός
τετυγμένος|τεύχω
ἀεικής|ἀεικής
ἔξειμι|ἔξειμι
ἀλέαιτο|ἀλέω
μηχανάασθε|μηχανάομαι
ἐξῆλθε|ἐξέρχομαι
ὁρόωντες|ὁράω
ἐρέθιζον|ἐρεθίζω
ξείνοις|ξένος
κακοξεινώτερος|κακόξενος
ἐπίμαστον|ἐπίμαστος
ἔμπαιον|ἔμπαιος
ἄχθος|ἄχθος
ἀρούρης|ἄρουρα
αὖτέ|αὖτε
πίθοιο|πείθω
πολυκληῗδι|πολυκλήις
βαλόντες|βάλλω
Σικελοὺς|Σικελός
πέμψωμεν|πέμπω
προσεδέρκετο|προσδέρκομαι
δέγμενος|δέχομαι
ἄντηστιν|ἄντηστις
θεμένη|τίθημι
ἄκουεν|ἀκούω
γελοίωντες|γελάω
μενοεικές|μενοεικής
ἱέρευσαν|ἱερεύω
ἀχαρίστερον|ἀχάριστος
ἔμελλε|μέλλω
θησέμεναι|τίθημι
πρότεροι|πρότερος
μηχανόωντο|μηχανάομαι
πολιόν|πολιός
ἀέθλια|ἄθλιος
ἀρχήν|ἀρχή
προσεβήσετο|προσβαίνω
κληῗδ̓|κλείς
εὐκαμπέα|εὐκαμπής
χαλκείην|χάλκειος
κώπη|κώπη
ἐπῆεν|ἔπειμι
θάλαμόνδε|θάλαμόνδε
ἔσχατον|ἔσχατος
πολύκμητός|πολύκμητος
παλίντονον|παλίντονος
φαρέτρη|φαρέτρα
ἰοδόκος|ἰοδόκος
ἔνεσαν|ἐνέζομαι
στονόεντες|στονόεις
Λακεδαίμονι|Λακεδαίμων
τυχήσας|τυγχάνω
Ἴφιτος|Ἴφιτος
Εὐρυτίδης|Εὐρυτίδης
Μεσσήνῃ|Μεσσήνη
ξυμβλήτην|συμβάλλω
ὄφελλε|ὀφέλλω
Μεσσήνιοι|Μεσσήνιοι
πολυκλήϊσι|πολυκλήις
τριηκόσἰ|τριακόσιοι
ἐξεσίην|ἐξεσία
παιδνὸς|παιδνός
ἡμίονοι|ἡμίονος
ταλαεργοί|ταλαεργός
καρτερόθυμον|καρτερόθυμος
φῶθ̓|φώς
μεγάλων|μέγας
ἐπιίστορα|ἐπιίστωρ
κατέκτανεν|κατακτείνω
ὄπιν|ὄπις
ᾐδέσατ̓|αἰδέομαι
κρατερώνυχας|κρατερῶνυξ
συνήντετο|συνάντομαι
Εὔρυτος|Εὔρυτος
ἀποθνῄσκων|ἀποθνήσκω
ἀρχὴν|ἀρχή
ξεινοσύνης|ξενοσύνη
προσκηδέος|προσκηδής
τραπέζῃ|τράπεζα
γνώτην|γιγνώσκω
Ἴφιτον|Ἴφιτος
Εὐρυτίδην|Εὐρυτίδης
ἐπιείκελον|ἐπιείκελος
ἐρχόμενος|ἔρχομαι
μελαινάων|μέλας
ᾑρεῖτ̓|αἱρέω
μνῆμα|μνῆμα
κέσκετ̓|κεῖμαι
φόρει|φορέω
δρύϊνον|δρύινος
ἄρσε|ἀραρίσκω
φαεινάς|φαεινός
ἱμάντα|ἱμάς
ἀπέλυσε|ἀπολύω
κορώνης|κορώνη
θυρέων|θύρα
ἀνέκοπτεν|ἀνακόπτω
ὀχῆας|ὀχεύς
τιτυσκομένη|τιτύσκομαι
ἀνέβραχεν|ἀνέβραχε
ταῦρος|ταῦρος
βοσκόμενος|βόσκω
ἔβραχε|βράσσω
πληγέντα|πλήσσω
κληΐδι|κλείς
πετάσθησαν|πετάννυμι
ὑψηλῆς|ὑψηλός
σανίδος|σανίς
χηλοὶ|χηλός
θυώδεα|θυώδης
ὀρεξαμένη|ὀρέγω
πασσάλου|πάσσαλος
αἴνυτο|αἴνυμαι
γωρυτῷ|γωρυτός
περίκειτο|περίκειμαι
φαεινός|φαεινός
ἑζομένη|ἕζομαι
θεῖσα|τίθημι
ᾕρεε|αἱρέω
φαρέτρην|φαρέτρα
ἰοδόκον|ἰοδόκος
ὄγκιον|ὄγκιον
τοῖο|ὁ
ἐχράετ̓|χράω
ἐμμενὲς|ἐμμενής
μύθου|μῦθος
ποιήσασθαι|ποιέω
ἐπισχεσίην|ἐπισχεσία
ἐδύνασθε|δύναμαι
γῆμαι|γαμέω
δακρύσας|δακρύω
βουκόλος|βουκόλος
ἐφημέρια|ἐφημέριος
δειλώ|δειλός
κατείβετον|κατείβω
ὀρίνετον|ὀρίνω
ὤλεσ̓|ὄλλυμι
ἀκοίτην|ἀκοίτης
δαίνυσθε|δαίνυμι
κλαίετον|κλαίω
ἐξελθόντε|ἐξέρχομαι
λιπόντε|λείπω
ἀάατον|ἀάατος
ἐντανύεσθαι|ἐντανύω
μέτα|μετά
μνήμων|μνήμων
νευρὴν|νευρά
ἐντανύσειν|ἐντανύω
διοϊστεύσειν|διοιστεύω
ὀϊστοῦ|ὀιστός
ἀτίμα|ἀτιμάω
ὤρνυε|ὄρνυμι
ἄφρονα|ἄφρων
ἕψεσθαι|ἕπομαι
γελόω|γελάω
τέρπομαι|τέρπω
Ἀχαιΐδα|Ἀχαιίς
Μυκήνης|Μυκήνη
στῆσεν|ἵστημι
τάφρον|τάφρος
ὀρύξας|ὀρύσσω
μίαν|εἷς
ἔναξε|νάσσω
τάφος|τάφος
ἰδόντας|εἶδον
εὐκόσμως|εὔκοσμος
ὀπώπει|ὁράω
τόξου|τόξον
πειρήτιζε|πειρητίζω
πελέμιξεν|πελεμίζω
ἐρύσσεσθαι|ἐρύω
μεθῆκε|μεθίημι
ἐπιελπόμενος|ἐπέλπομαι
ἐντανύειν|ἐντανύω
ἀνέλκων|ἀνέλκω
ἀνένευε|ἀνανεύω
ἱέμενόν|ἵημι
κακός|κακός
ἄκικυς|ἄκικυς
νεώτερός|νεώτερος
προφερέστεροί|προφερής
ἐστε|εἰμί
πειρήσασθε|πειράω
ἐκτελέωμεν|ἐκτελέω
ἕο|ἕ
κλίνας|κλίνω
κολλητῇσιν|κολλητός
ἐϋξέστῃς|εὔξεστος
σανίδεσσιν|σανίς
ὠκὺ|ὠκύς
προσέκλινε|προσκλίνω
ὄρνυσθ̓|ὄρνυμι
ἐπιδέξια|ἐπιδέξιος
ἀρξάμενοι|ἄρχω
οἰνοχοεύει|οἰνοχοεύω
Λειώδης|Λειώδης
Οἴνοπος|Οἴνοψ
θυοσκόος|θυοσκόος
μυχοίτατος|μυχοίτατος
αἰέν|ἀεί
ἀτασθαλίαι|ἀτασθαλία
ἐχθραὶ|ἐχθρός
νεμέσσα|νεμεσάω
ὠκύ|ὠκύς
πειρήτιζεν|πειρητίζω
ἐντάνυσε|ἐντανύω
κάμε|κάμνω
ἀτρίπτους|ἄτριπτος
ἁπαλάς|ἁπαλός
τανύω|τανύω
λαβέτω|λαμβάνω
κεκαδήσει|χάζω
ψυχῆς|ψυχή
ζώοντας|ζώω
ἁμαρτεῖν|ἁμαρτάνω
οὗθ̓|ὅστε
ὁμιλέομεν|ὁμιλέω
ἔλπετ̓|ἔλπω
πειρήσεται|πειράω
εὐπέπλων|εὔπεπλος
λειῶδες|λειώδης
δύνασαι|δύναμαι
τανύσσαι|τανύω
βιοῦ|βιός
τανύουσι|τανύω
Μελάνθιον|Μελάνθιος
αἰπόλον|αἰπόλος
ἄγρει|ἀγρέω
κῆον|καίω
Μελανθεῦ|Μελανθεύς
στέατος|στέαρ
θάλποντες|θάλπω
ἐπιχρίοντες|ἐπιχρίω
πειρώμεσθα|πείρω
ἐπειρῶντ̓|πειράω
ἐπιδευέες|ἐπιδευής
ἐπεῖχε|ἐπέχω
ἀρχοὶ|ἀρχός
ἔξοχ̓|ἔξοχος
ὁμαρτήσαντες|ὁμαρτέω
συφορβὸς|συφορβός
φθεγξάμενός|φθέγγομαι
σφε|σφεῖς
βουκόλε|βουκόλος
συφορβέ|συφορβός
μυθησαίμην|μυθέομαι
κεύθω|κεύθω
ποῖοί|ποῖος
εἶτ̓|εἰμί
ἐνείκαι|φέρω
ἀμύνοιτ̓|ἀμύνω
εἴπαθ̓|εἶπον
τελευτήσειας|τελευτάω
νημερτέ̓|νημερτής
ἐελδομένοισιν|ἔλδομαι
οἴοισι|οἶος
εὐξαμένου|εὔχομαι
ὑπότροπον|ὑπότροπος
ἄξομαι|ἄγω
ἀμφοτέροις|ἀμφότερος
ὀπάσσω|ὀπάζω
ἑτάρω|ἑταῖρος
κασιγνήτω|κασίγνητος
ἀριφραδὲς|ἀριφραδής
γνῶτον|γιγνώσκω
πιστωθῆτόν|πιστόω
ἀποέργαθεν|ἀπείργαθον
οὐλῆς|οὐλή
εἰσιδέτην|εἰσείδω
ἐφράσσαντο|φράζω
ἀγαπαζόμενοι|ἀγαπάζω
ἔκυσσε|κυνέω
ἐρύκακε|ἐρύκω
παύεσθον|παύω
κλαυθμοῖο|κλαυθμός
ἐξελθὼν|ἐξέρχομαι
προμνηστῖνοι|προμνηστῖνοι
ἐσέλθετε|εἰσέρχομαι
ὔμμες|σύ
ἐάσουσιν|ἐάω
θέμεναι|τίθημι
κληῗσαι|κλείω
ἀραρυίας|ἀραρίσκω
στοναχῆς|στοναχή
κτύπου|κτύπος
ἡμετέροισιν|ἡμέτερος
ἕρκεσι|ἕρκος
προβλώσκειν|προβλώσκω
Φιλοίτιε|Φιλοίτιος
δῖε|δῖος
κληῗδι|κλείς
ἰῆλαι|ἰάλλω
δμῶε|δμώς
ἴτην|εἶμι
ἐνώμα|νωμάω
θάλπων|θάλπω
σέλᾳ|σέλας
ἔστενε|στένω
κυδάλιμον|κυδάλιμος
εἶρος|ἔπος
ἀχνύμενός|ἀχεύω
Ἀχαιΐδες|Ἀχαιίς
ἄλλῃσιν|ἄλλος
πολίεσσιν|πόλις
τοσσόνδε|τοσόσδε
εἰμὲν|εἰμί
ἐλεγχείη|ἐλεγχείη
νοέεις|νοέω
ἑορτὴ|ἑορτή
τιταίνοιτ̓|τιταίνω
κάτθετ̓|κατατίθημι
πελέκεάς|πέλεκυς
εἰῶμεν|ἐάω
ἑστάμεν|ἵστημι
ἀναιρήσεσθαι|ἀναιρέω
καταθείομεν|κατατίθημι
ἀγκύλα|ἀγκύλος
κέλεσθε|κέλομαι
ἔξοχοι|ἔξοχος
αἰπολίοισιν|αἰπόλιον
θέντες|τίθημι
Ἀπόλλωνι|Ἀπόλλων
κλυτοτόξῳ|κλυτότοξος
νώμησαν|νωμάω
ἐπαρξάμενοι|ἐπάρχω
ἐπιτρέψαι|ἐπιτρέπω
σθένεος|σθένος
πειρήσομαι|πειράω
ἴς|ἴς
ὄλεσσεν|ὄλλυμι
ἀκομιστίη|ἀκομιστία
ἐντανύσειεν|ἐντανύω
ἀγαπᾷς|ἀγαπάω
δαίνυσαι|δαίνυμι
ἀμέρδεαι|ἀμέρδω
ἡμετέρων|ἡμέτερος
ῥήσιος|ῥῆσις
ἀκούει|ἀκούω
οἶνός|οἶνος
τρώει|τιτρώσκω
μελιηδής|μελιηδής
βλάπτει|βλάπτω
χανδὸν|χανδόν
ἕλῃ|αἱρέω
πίνῃ|πίνω
Κένταυρον|Κένταυρος
Εὐρυτίωνα|Εὐρυτίων
ἄασ̓|ἀάω
Πειριθόοιο|Πειρίθοος
Λαπίθας|Λαπίθαι
ἐλθόνθ̓|ἔρχομαι
ἄασεν|ἀάω
μαινόμενος|μαίνομαι
ἔρεξε|ῥέζω
εἷλε|αἱρέω
ἀναΐξαντες|ἀναίσσω
ῥῖνάς|ῥίς
ἀμήσαντες|ἀμάω
ἀασθεὶς|ἀάω
ὀχέων|ὀχέω
ἀεσίφρονι|ἀεσίφρων
Κενταύροισι|Κένταυρος
πρώτῳ|πρῶτος
εὕρετο|εὑρίσκω
ἐντανύσῃς|ἐντανύω
ἐπητύος|ἐπητύς
ἀντιβολήσεις|ἀντιβολέω
πέμψομεν|πέμπω
σαώσεαι|σώζω
ἐρίδαινε|ἐριδαίνω
κουροτέροισιν|κουρότερος
ἔλπεαι|ἔλπω
ἧφι|ἑός
πιθήσας|πείθω
οἴκαδέ|οἴκαδε
ἄξεσθαι|ἄγω
θήσεσθαι|τίθημι
ἔολπε|ἔλπω
ὑμείων|σύ
δαινύσθω|δαίνυμι
ἔοικεν|ἔοικα
ὀϊόμεθ̓|οἴομαι
αἰσχυνόμενοι|αἰσχύνω
φάτιν|φάτις
κακώτερος|κακός
χείρονες|χείρων
ἐντανύουσιν|ἐντανύω
βιόν|βιός
ἐρέουσ̓|ἐρῶ
ἐλέγχεα|ἔλεγχος
ἐϋκλεῖας|εὐκλεής
ἀτιμάζοντες|ἀτιμάζω
ἀριστῆος|ἀριστεύς
τίθεσθε|τίθημι
εὐπηγής|εὐπηγής
ἀγαθοῦ|ἀγαθός
ἴδωμεν|εἶδον
εὖχος|εὖχος
δόμεναί|δίδωμι
ἀρνήσασθαι|ἀρνέομαι
νήσοισι|νῆσος
Ἤλιδος|Ἦλις
ἱπποβότοιο|ἱππόβοτος
βιήσεται|βιάω
ἐθέλωμι|ἐθέλω
καθάπαξ|καθάπαξ
καμπύλα|καμπύλος
ὁμόκλεον|ὁμοκλέω
φέρεις|φέρω
πλαγκτέ|πλαγκτός
κατέδονται|κατέδω
ἱλήκῃσι|ἱλήκω
χώρῃ|χώρα
ἐγεγώνει|γέγωνα
πρόσω|πρόσω
πιθήσεις|πείθω
ὁπλότερός|ὁπλότερος
δίωμαι|δίω
χερμαδίοισι|χερμάδιον
βίηφι|βία
φέρτερός|φέρτατος
στυγερῶς|στυγερός
πέμψαιμι|πέμπω
ἡμετέρου|ἡμέτερος
μέθιεν|μεθίημι
χαλεποῖο|χαλεπός
χόλοιο|χόλος
κέλεταί|κέλομαι
ἆλτο|ἅλλομαι
εὐερκέος|εὐερκής
ὅπλον|ὅπλον
βύβλινον|βύβλινος
ἐπέδησε|ἐπιδέω
πάντη|πάντῃ
ἀναστρωφῶν|ἀναστρωφάω
πειρώμενος|πειράω
ἶπες|ἶψ
ἔδοιεν|ἔδω
θηητὴρ|θηητήρ
τόξων|τόξον
οἴκοθι|οἴκοθι
ποιησέμεν|ποιέω
νωμᾷ|νωμάω
ἔμπαιος|ἔμπαιος
ὀνήσιος|ὄνησις
οὗτός|οὗτος
ἐντανύσασθαι|ἐντανύω
ἐβάστασε|βαστάζω
ἐπιστάμενος|ἐπίσταμαι
κόλλοπι|κόλλοψ
χορδήν|χορδή
ἅψας|ἅπτω
ἐϋστρεφὲς|ἐυστρεφής
ἔντερον|ἔντερον
οἰός|ὄις
σπουδῆς|σπουδή
πειρήσατο|πειράω
νευρῆς|νευρά
ἄεισε|ἀείδω
χελιδόνι|χελιδών
εἰκέλη|εἴκελος
ἐτράπετο|τρέπω
ἔκτυπε|κτυπέω
σήματα|σῆμα
φαίνων|φαίνω
Κρόνου|Κρόνος
ἀγκυλομήτεω|ἀγκυλομήτης
ὠκὺν|ὠκύς
παρέκειτο|παράκειμαι
γυμνός|γυμνός
φαρέτρης|φαρέτρα
κείατο|καίω
πήχει|πῆχυς
ἕλκεν|ἕλκω
γλυφίδας|γλυφίς
δίφροιο|δίφρος
ὀϊστὸν|ὀιστός
τιτυσκόμενος|τιτύσκομαι
ἤμβροτε|ἁμαρτάνω
πρώτης|πρῶτος
στειλειῆς|στειλειή
ἀμπερὲς|ἀμπερές
ἰὸς|ἰός
χαλκοβαρής|χαλκοβαρής
ἐλέγχει|ἐλέγχω
ἤμβροτον|ἁμαρτάνω
τανύων|τανύω
ἔμπεδόν|ἔμπεδος
ὄνονται|ὄνομαι
Ἀχαιοῖσιν|Ἀχαιός
τετυκέσθαι|τεύχω
φάει|φάος
ἑψιάασθαι|ἑψιάομαι
μολπῇ|μολπή
φόρμιγγι|φόρμιγξ
νεῦσεν|νεύω
ἀμφέθετο|ἀμφιτίθημι
ἑστήκει|ἵστημι
κεκορυθμένος|κορύσσω
αἴθοπι|αἶθοψ
γυμνώθη|γυμνόω
ἰῶν|ἰός
ταχέας|ταχύς
ἐκχεύατ̓|ἐκχέω
ὀϊστοὺς|ὀιστός
πρόσθε|πρόσθεν
ἄεθλος|ἆθλος
ἀάατος|ἀάατος
ἐκτετέλεσται|ἐκτελέω
σκοπὸν|σκοπός
εἴσομαι|οἶδα
τύχωμι|τυγχάνω
πόρῃ|πόρω
ἰθύνετο|ἰθύνω
πικρὸν|πικρός
ἄμφωτον|ἄμφωτος
πίοι|πίνω
μέμβλετο|μέλω
δαιτυμόνεσσι|δαιτυμών
τεύξειν|τεύχω
λαιμὸν|λαιμός
ἐπισχόμενος|ἐπίσχω
ἰῷ|ἰός
ἁπαλοῖο|ἁπαλός
αὐχένος|αὐχήν
ἐκλίνθη|κλίνω
αὐλὸς|αὐλός
ῥῖνας|ῥίς
παχὺς|παχύς
ἀνδρομέοιο|ἀνδρόμεος
εἷο|ἕ
ὦσε|ὠθέω
σῖτός|σῖτος
ὀπτὰ|ὀπτός
φορύνετο|φορύνω
ἀνόρουσαν|ἀνορούω
ὀρινθέντες|ὀρίνω
παπταίνοντες|παπταίνω
ἐϋδμήτους|εὔδμητος
πη|πη
ἀσπὶς|ἀσπίς
νείκειον|νεικέω
χολωτοῖσιν|χολωτός
τοξάζεαι|τοξάζομαι
ἀντιάσεις|ἀντιάω
αἰπὺς|αἰπύς
κατέκτανες|κατακτείνω
κούρων|κόρος
γῦπες|γύψ
ἴσκεν|ἴσκε
κατακτεῖναι|κατακτείνω
ἐνόησαν|νοέω
ὀλέθρου|ὄλεθρος
ἐφῆπτο|ἐφάπτω
ἐφάσκεθ̓|φάσκω
κατεκείρετε|κατακείρω
παρευνάζεσθε|παρευνάζομαι
ὑπεμνάασθε|ὑπομνάομαι
νέμεσιν|νέμεσις
κατόπισθεν|κατόπισθεν
ἔσεσθαι|εἰμί
ἐφῆπται|ἐφάπτω
εἷλεν|αἱρέω
πάπτηνεν|παπταίνω
εἶπας|εἶπον
ῥέζεσκον|ῥέζω
ἐπίηλεν|ἐπιάλλω
ἐϋκτιμένης|ἐυκτίμενος
βασιλεύοι|βασιλεύω
κατακτείνειε|κατακτείνω
λοχήσας|λοχάω
πέφαται|θείνω
ἄμμες|ἐγώ
ἀρεσσάμενοι|ἀρέσκω
ἐκπέποται|ἐκπίνω
ἐδήδοται|ἔδω
ἐεικοσάβοιον|εἰκοσάβοιος
ἀποδώσομεν|ἀποδίδωμι
ἰανθῇ|ἰαίνω
νεμεσσητὸν|νεμεσητός
